#7379    CV78 $6$KB$6SsUGf4Cq7/Oooym9WWQN3VKeo2lynKV9gXVyEG4HvYy1UFRx.XAye89TLp/OTcW7cGpf9UlU0F.cK/S9CfZn1
67600 solutions explored
#14984   FT83 $6$KB$.bVspZYQofaBc4KhsjlqZSxu4R7r7mH7.Q/uCYlJ.3nRV2x5Jz.TKYX6Aa97sUZhTjmN3rett7GrCFr3aO3uR/
67600 solutions explored
#19924   HR23 $6$KB$Z/wMw97.MbsjxFvFZacJuQYiyegBaODZm0KBZFiXMVhWxywV/LC5UD9YRr0WYUnzLcc65r886iJwORXyEf2eY.
67600 solutions explored
#46833   SA32 $6$KB$XxG6dvtXywYrGaKzTwfm0TvaSlbpVQjFUCbW2KofszOd7vmECs7Eqi4Z03rCh8kY6K9t3NR1p6o8AowNBlu8R1
67600 solutions explored
Time elapsed was 871789229048ns or 871.789229048s
#7379    CV78 $6$KB$6SsUGf4Cq7/Oooym9WWQN3VKeo2lynKV9gXVyEG4HvYy1UFRx.XAye89TLp/OTcW7cGpf9UlU0F.cK/S9CfZn1
67600 solutions explored
#14984   FT83 $6$KB$.bVspZYQofaBc4KhsjlqZSxu4R7r7mH7.Q/uCYlJ.3nRV2x5Jz.TKYX6Aa97sUZhTjmN3rett7GrCFr3aO3uR/
67600 solutions explored
#19924   HR23 $6$KB$Z/wMw97.MbsjxFvFZacJuQYiyegBaODZm0KBZFiXMVhWxywV/LC5UD9YRr0WYUnzLcc65r886iJwORXyEf2eY.
67600 solutions explored
#46833   SA32 $6$KB$XxG6dvtXywYrGaKzTwfm0TvaSlbpVQjFUCbW2KofszOd7vmECs7Eqi4Z03rCh8kY6K9t3NR1p6o8AowNBlu8R1
67600 solutions explored
Time elapsed was 863883636037ns or 863.883636037s
#7379    CV78 $6$KB$6SsUGf4Cq7/Oooym9WWQN3VKeo2lynKV9gXVyEG4HvYy1UFRx.XAye89TLp/OTcW7cGpf9UlU0F.cK/S9CfZn1
67600 solutions explored
#14984   FT83 $6$KB$.bVspZYQofaBc4KhsjlqZSxu4R7r7mH7.Q/uCYlJ.3nRV2x5Jz.TKYX6Aa97sUZhTjmN3rett7GrCFr3aO3uR/
67600 solutions explored
#19924   HR23 $6$KB$Z/wMw97.MbsjxFvFZacJuQYiyegBaODZm0KBZFiXMVhWxywV/LC5UD9YRr0WYUnzLcc65r886iJwORXyEf2eY.
67600 solutions explored
#46833   SA32 $6$KB$XxG6dvtXywYrGaKzTwfm0TvaSlbpVQjFUCbW2KofszOd7vmECs7Eqi4Z03rCh8kY6K9t3NR1p6o8AowNBlu8R1
67600 solutions explored
Time elapsed was 858974587777ns or 858.974587777s
#7379    CV78 $6$KB$6SsUGf4Cq7/Oooym9WWQN3VKeo2lynKV9gXVyEG4HvYy1UFRx.XAye89TLp/OTcW7cGpf9UlU0F.cK/S9CfZn1
67600 solutions explored
#14984   FT83 $6$KB$.bVspZYQofaBc4KhsjlqZSxu4R7r7mH7.Q/uCYlJ.3nRV2x5Jz.TKYX6Aa97sUZhTjmN3rett7GrCFr3aO3uR/
67600 solutions explored
#19924   HR23 $6$KB$Z/wMw97.MbsjxFvFZacJuQYiyegBaODZm0KBZFiXMVhWxywV/LC5UD9YRr0WYUnzLcc65r886iJwORXyEf2eY.
67600 solutions explored
#46833   SA32 $6$KB$XxG6dvtXywYrGaKzTwfm0TvaSlbpVQjFUCbW2KofszOd7vmECs7Eqi4Z03rCh8kY6K9t3NR1p6o8AowNBlu8R1
67600 solutions explored
Time elapsed was 506767420203ns or 506.767420203s
#7379    CV78 $6$KB$6SsUGf4Cq7/Oooym9WWQN3VKeo2lynKV9gXVyEG4HvYy1UFRx.XAye89TLp/OTcW7cGpf9UlU0F.cK/S9CfZn1
67600 solutions explored
#14984   FT83 $6$KB$.bVspZYQofaBc4KhsjlqZSxu4R7r7mH7.Q/uCYlJ.3nRV2x5Jz.TKYX6Aa97sUZhTjmN3rett7GrCFr3aO3uR/
67600 solutions explored
#19924   HR23 $6$KB$Z/wMw97.MbsjxFvFZacJuQYiyegBaODZm0KBZFiXMVhWxywV/LC5UD9YRr0WYUnzLcc65r886iJwORXyEf2eY.
67600 solutions explored
#46833   SA32 $6$KB$XxG6dvtXywYrGaKzTwfm0TvaSlbpVQjFUCbW2KofszOd7vmECs7Eqi4Z03rCh8kY6K9t3NR1p6o8AowNBlu8R1
67600 solutions explored
Time elapsed was 504899908546ns or 504.899908546s
#7379    CV78 $6$KB$6SsUGf4Cq7/Oooym9WWQN3VKeo2lynKV9gXVyEG4HvYy1UFRx.XAye89TLp/OTcW7cGpf9UlU0F.cK/S9CfZn1
67600 solutions explored
#14984   FT83 $6$KB$.bVspZYQofaBc4KhsjlqZSxu4R7r7mH7.Q/uCYlJ.3nRV2x5Jz.TKYX6Aa97sUZhTjmN3rett7GrCFr3aO3uR/
